C0410192	FRG1
C0025990	IMPAD1
C0011859	FOS
C0008350	ALDOA
C0027066	SNCA
C1860796	RAB23
C1843367	POMGNT1
C0020619	PDE4D
C0014556	SLC12A5
C0235032	TIMP3
C1862475	IMPG2
C2315100	CYP7B1
C0152025	ABHD12
C2981150	ACTB
C4023616	DLL3
C0025362	CYP24A1
C0007134	CNN2
C4020747	TTC37
C4280581	MAP2K2
C4020887	RGR
C1836047	NFIX
C1837385	MASP1
C1844704	FGFR3
C0036857	LETM1
C0014306	MAPK1
C4023583	ALAS2
C3714756	IMPDH1
C0014065	RPE65
C0003504	SMAD3
C0024121	MIR487B
C0011334	PEPD
C3550546	LONP1
C0544886	ARHGAP26
C0000786	INHA
C0013069	SEMA3E
C0011071	MYH6
C1853562	MATR3
C0011581	ASMT
C0277828	ROR2
C1844752	KDM6A
C0023892	CDH5
C0026106	PHF8
C1301937	NOTCH1
C0024121	MIR31
C0009404	SFRP2
C2973725	BMPR2
C1848924	SDHD
C2239176	GAPDH
C1384666	ITGB6
C0032927	IGF2
C0151636	SLC25A20
C4280495	ARSB
C0002768	PRDM12
C0265695	SUFU
C4022654	NR3C1
C4021100	SHH
C3278509	TBX6
C2239176	SREBF2
C4230640	SMAD4
C1848207	SNAP25
C1842820	NKX2-5
C0497247	NF1
C0151889	PLA2G6
C0018772	GNS
C4020876	BRCA2
C2931254	COL4A4
C4280617	MED12
C4280516	LRP5
C4280619	LRP6
C0279626	FAT1
C0277959	KAT6B
C0019294	TBX3
C0038002	NCF2
C2677762	CPLX1
C0015934	SMC3
C1864897	PEX2
C0231246	SMARCA2
C0018099	UMOD
C1969057	RAF1
C0878787	SUCLG1
C1848869	CHUK
C4280565	VDR
C0003962	SLC17A5
C0014072	MOG
C0037274	IL1B
C0751688	TGFBR2
C0744641	CACNA1A
C0009918	PIGA
C4021782	EDAR
C0022387	KCNQ1
C0017661	CORO1C
C0022346	IL12RB1
C0011570	NOS3
C0549613	MKKS
C1843663	GBE1
C0497327	CUBN
C0034935	TYROBP
C0027066	TPP1
C0011609	FCER1A
C0234632	CDH3
C4020899	GOSR2
C1860614	BMPR1B
C0020458	SUCLG1
C1836479	CACNA1A
C0042487	TET2
C0011581	SLC6A2
C0151576	AR
C1850343	BUB1B
C0011581	POLG
C1621895	HSD3B2
C1855853	ITGB3
C0423903	AMT
C4024818	MAK
C0078917	GPR143
C3278509	GPC3
C0013274	NOTCH2
C0423110	SEC24D
C0268418	GK
C1843479	GFPT1
C1408258	VPS33B
C4021758	SLC16A2
C1956346	ATP2B1
C4082169	FBN2
C0028754	ATPAF1
C0405580	PEX19
C0020534	ITGA3
C1458155	CD74
C1860614	EXT1
C0541794	GLB1
C0018772	GPC3
C0035334	GGCX
C0011860	ICAM1
C1842003	FAH
C0917816	GABRA1
C1854301	KCNJ11
C3552463	TSPYL1
C0917816	AVPR2
C0524620	LEP
C4024753	NR2E3
C4280368	SLC16A2
C0001973	SNRNP70
C0020224	LMNA
C0426806	EFNB1
C0005689	TP63
C0020295	ROR2
C0004364	C1GALT1C1
C0018772	TK2
C0343073	TGM3
C0036980	PLAT
C0024667	COX1
C0259817	XPA
C0242184	PDYN
C0431904	BBS1
C3277059	IARS2
C1859966	TCIRG1
C1567435	EYA1
C3550546	TP63
C0019572	PPARG
C0006386	HOXD13
C0243026	IFNA2
C0027859	KARS
C0020255	VSX1
C0432255	GORAB
C0009404	PIK3CA
C0013362	PMPCA
C1865017	ATIC
C0022360	OTX2
C0557874	PSAP
C0007758	GABRG2
C1862102	HDAC4
C0032460	SRSF10
C0018834	TSPYL1
C3808786	C10orf11
C0003469	GABRA2
C0233715	TSHR
C4020847	SOST
C4021782	CTSK
C2239176	ATM
C0086565	MRPS16
C1857656	INSR
C3164374	BRAF
C0239137	MGAT2
C0085602	AVP
C0018965	CLDN16
C0002888	PNLIP
C0338656	CRBN
C0037932	HNRNPK
C0036572	NPC2
C4280516	TBXAS1
C1837463	NSUN2
C1853241	PEX6
C0028754	NR2E3
C0423903	CENPE
C0085762	FN1
C0020608	EDA
C0035126	GPT
C2315100	NDUFAF3
C1328931	KRAS
C0232461	SIM1
C0151740	SLC4A10
C1858085	SIX3
C4280547	BTK
C2752013	SCN5A
C0023882	FTL
C0029456	CYP24A1
C0020615	POU1F1
C0345050	AAT1
C1844806	IGF1R
C0023893	GCHFR
C0011860	CAPN10
C0541794	HSPB3
C1858430	DNM1L
C0557874	CEP104
C1848490	NSD2
C4020876	CTSA
C1865014	POR
C0027627	MIR181D
C1860050	FGFR1
C3888103	EDN1
C0746674	DCTN1
C0020541	VEGFA
C1269683	PEA15
C0264886	PTPN11
C0027404	HCRT
C0264172	HRAS
C1855553	PDHX
C0235991	RET
C0241074	FGFR3
C0022821	TFAP2A
C0001125	FBXL4
C0854699	FGF5
C2239176	ADD1
C0015644	PFN1
C0240295	ERCC6
C0002170	ZDHHC13
C0016952	GALK1
C2112942	MEGF8
C0011581	PDE11A
C0399570	PLCB4
C0022679	SNRPB
C0700078	FLII
C1442978	MECP2
C0311277	ALMS1
C0752166	TRIM32
C0031117	ND6
C0002736	SIGMAR1
C0007758	ETHE1
C0005586	PLA2G6
C2750729	FUS
C0376175	GJA1
C0002395	MTHFR
C1837385	CLCN7
C0240295	PTEN
C0700208	TRAPPC2
C1844704	DDR2
C1834386	SETBP1
C0009375	RCOR1
C1855067	STAT1
C4020899	ORC1
C1836852	CLN8
C0036572	NTNG1
C0040433	GRIP1
C0011616	DEFB1
C4280808	BUB1
C0220981	MTO1
C0023903	LINGO2
C0239234	FIG4
C0236736	MIR136
C4280643	FLNB
C0003811	RPS24
C0007193	TMPO
C0426886	SCN9A
C0542519	KIF14
C0206754	DAXX
C0339789	EP300
C0038002	CASP8
C0018772	TGFB1
C0262404	AP4M1
C0678230	FGFRL1
C3278923	SETBP1
C0031117	GJE1
C0027443	DSP
C0678807	VEGFA
C0393706	SLC25A22
C0035304	POMT1
C0423276	NDP
C1850493	ND1
C1842870	GABRD
C1853141	ND1
C0575081	PLOD1
C1862939	CLU
C0221354	EDAR
C2749757	CFTR
C0948480	TNF
C0001125	DGUOK
C0037274	ABCC6
C0026034	COL2A1
C0878787	CTNS
C4048273	FSCN2
C2931788	DGKE
C1854106	MYH2
C0424688	LIMK1
C0151491	RARG
C0265677	PTCH2
C0029456	HFE
C0234146	LARGE1
C4072841	IDUA
C0266013	CHD7
C1839630	B4GAT1
C0079298	KRT5
C0038454	ADA2
C4280629	PSMB8
C0020626	IRX5
C0007384	HLA-DRB1
C1855019	FOLR1
C1956257	GPC4
C1855996	EIF2B4
C1305420	DSE
C1858154	DES
C0027540	TNNT2
C0011860	PPARGC1A
C3494422	EYA1
C0265326	PTEN
C3553869	TICAM1
C1866934	CPT1A
C0024115	INSR
C0870082	BRAF
C0035229	IFT80
C1837352	FECH
C4072823	NANS
C0020255	PIK3R2
C0149651	SFTPB
C0023893	ZFYVE16
C4022018	CCR6
C0018801	ABCC6
C0027658	SLC2A3
C0020534	NOTCH2
C4025730	MUC1
C0015672	RPS19
C1837770	ZMPSTE24
C0009081	NSD2
C0026826	GLRB
C1302995	TUBB3
C0020757	BRAF
C2364082	SCN9A
C1865244	SKI
C3280845	INF2
C0019569	SEMA3C
C1864897	ATP1A3
C3665386	GNA11
C0426414	SIN3A
C4020864	MPO
C0026826	PCBD1
C4280655	PEX1
C0015944	ADAMTS2
C0423903	SLC5A5
C0019825	EDA
C0023374	HPRT1
C1849340	ROR2
C3809965	COQ8B
C1862475	PEX5
C3150416	POMT1
C0151889	ERCC1
C0020538	COX3
C1850667	AUH
C3278923	CEP152
C0036857	RAD21
C0268138	ERCC2
C4022180	FGFR1
C0242184	POMC
C1458155	COMT
C0234162	TTC19
C1839764	POMGNT1
C4024799	PROM1
C0344312	SOX10
C4021611	TYROBP
C0020672	GNRH1
C0005586	IL6
C3714756	PEX12
C4280808	PHGDH
C0028754	NPHP1
C4021785	FLNB
C4082243	EDA
C0349588	TBL2
C1850072	EEF1A2
C3553450	PEX2
C1840068	RECQL4
C1840238	SHH
C0036572	PAX2
C1846170	MRXS7
C4083076	TRIP11
C0264886	BRAF
C3150086	WNT3
C0887833	KRAS
C0020542	CAV1
C0235946	SLC35C1
C0013421	DLD
C1857121	ERCC2
C1862475	CTNNB1
C0001807	CUL4B
C0036572	DBH
C0393525	WFS1
C4277682	SLC25A29
C4020875	CCDC22
C0029124	CLN3
C0349588	TBCE
C1867616	PTEN
C4072832	GHR
C0002881	RHD
C4014656	RAF1
C0206762	TP63
C4020876	STT3A
C4280614	TBL2
C1837402	ZNF592
C0265554	BTRC
C0341706	AMT
C0162119	CRIPT
C0026266	PDSS1
C0013902	GATA1
C1846242	ACSL4
C0221629	VCP
C4048273	RS1
C3550546	CDKN1C
C4280495	KCNH1
C0266464	PEX12
C0728829	CTDP1
C0086543	POMT2
C0037052	POMC
C0685840	FGF17
C4280538	GTF2I
C0685409	ECEL1
C1849295	NPAP1
C0024141	PEPD
C0233715	IGF1R
C0917816	HBA2
C0037650	IFNA2
C0021390	IBD2
C0856863	FLVCR1
C1860834	ITGA7
C4021107	FGF17
C1861373	GLI3
C3806467	CHAT
C0027627	AGTR2
C0038002	GPC4
C1835581	APC2
C0541794	AIFM1
C0240953	LMNA
C0262630	CREBBP
C1854882	TCF4
C4021906	COL2A1
C0035229	COX2
C0010417	PEX10
C4021551	HS6ST1
C1855544	B3GAT3
C0040053	SELP
C1859717	RAPSN
C0022658	ANXA1
C1857130	BAZ1B
C0023893	EPCAM
C1857121	SCN8A
C0034012	RAB3GAP2
C0010038	STS
C0017638	STMN1
C1855020	NDUFS6
C0086438	MAN2B1
C0023467	JAK2
C1850530	FHL1
C0521525	MGAT2
C0013592	MBTPS2
C0003864	TCF3
C0085611	EMD
C0028738	PIK3R5
C1844383	STIM1
C0553723	LMNA
C0009917	LAMA2
C4020884	PAK3
C1849367	TRIM37
C1866862	SLC7A9
C1860128	SLC39A4
C1835763	ROR2
C1853241	SLC26A2
C0349588	ARNT2
C1269683	BMP7
C0020458	FOXP1
C0000737	SDHD
C0026838	NDUFB9
C1866141	MPZ
C1837108	MKRN3-AS1
C0427068	ZFYVE26
C1263846	TRNQ
C2700617	SLC1A4
C0149651	ENG
C1858266	B2M
C1864580	SARS2
C0079294	COL7A1
C0376618	NOS2
C0024809	CAMK2B
C4021826	OCRL
C3281125	JAK2
C0426818	CHRNA1
C4280538	CREBBP
C4023911	NR5A1
C0154671	PDHA1
C4280321	MAN2B1
C4020874	PMP22
C4072823	ADSL
C0162298	IDH1
C4020873	UCHL1
C0231246	PRF1
C0007758	MYO7A
C0431886	CHST14
C2674608	REV3L
C1865017	SEC23A
C0263537	KRT5
C0423903	VRK1
C0021364	ELOVL2
C0029408	CLIC4
C0152031	FGB
C4021418	FGFR3
C4280625	HMX1
C1691228	FAT4
C0423250	SC5D
C1857130	SEC24D
C0011570	CDKN2A
C4025751	RMRP
C0015934	PHGDH
C0032285	IL13
C4020899	GNRH1
C4225326	SQSTM1
C0009714	PKHD1
C0027746	CTNNB1
C1832324	RAG2
C0036572	PREPL
C0235659	NELFA
C0376175	BIN1
C1864897	ALDH6A1
C0338656	PTPN22
C0240295	CREBBP
C1842680	ARVCF
C1860844	KRAS
C1167918	ECHS1
C1861172	TNF
